When was Shakespeare baptized?	April 26, 1564
How many of Shakespeare's siblings survived childhood?	Four
Which school did Shakespeare attend?	Grammar School of Stratford
What position did John Shakespeare hold in 1568?	High Bailiff and Justice of Peace
What occupations did John Shakespeare follow?	Butcher, glover, and farmer
At what age did Shakespeare marry Anne Hathaway?	18
Where was Anne Hathaway from?	Shottery
How many children did Shakespeare have?	Three
Who were Shakespeare's children?	Susanna, Hamnet, and Judith
When were Shakespeare’s twins baptized?	February 2, 1585
Why is it believed that Shakespeare’s marriage was hasty?	Anne Hathaway was pregnant
Why did Shakespeare leave his town in 1584?	He was convicted of poaching
What was Shakespeare's first job in London?	Horse keeper at the theatre
Who did Shakespeare serve with in the Low Countries?	The Earl of Leicester
In which year did Shakespeare become associated with Lord Chamberlain's Men?	1594
When was The Globe Theatre built?	1599
What new name did Shakespeare’s acting company take under King James I?	The King's Men
Which theatres did Shakespeare own shares in?	The Globe and The Blackfriars
Which roles did Shakespeare play on stage?	Adam in As You Like It and the Ghost in Hamlet
Whose armies did Shakespeare serve in the law countries?	The Earl of Leicester
What were some possible reasons Shakespeare's hasty marriage?	Anne Hathaway’s pregnancy
When did Shakespeare's son Hamnet die?	1596
Who was Shakespeare’s daughter Susanna married to?	John Hall
Who did Shakespeare's daughter Judith marry in 1616?	Thomas Queenie
When was Shakespeare’s will dated?	March 25, 1616
To whom did Shakespeare leave most of his property?	His daughter Susanna
When was Shakespeare’s granddaughter Elizabeth Hall christened?	1608
What title was conferred to Shakespeare’s family with the official coatofarms?	Gentleman
When did Shakespeare leave London for Stratford?	1610
What property did Shakespeare purchase in 1602?	127 acres of land in Stratford
With whom did Shakespeare stay in London?	The Mountjoy family
When did Shakespeare die?	April 23, 1616
Where was Shakespeare buried?	Holy Trinity Church
What part did Shakespeare play in Ben Jonson's “Every Man in His Humour”?	Unknown
What was Shakespeare’s epitaph?	Good friend, for Jesus' sake forbeare To dig the dust enclosed heare; Bleste be the man that spares these stones, And curst be he that moves my bones.
What title did Shakespeare receive with the coatofarms grant in 1596?	Gentleman
Where did Shakespeare stay while living in London?	The Mountjoy family
Which theatre did Shakespeare’s company take over as a winter house in 1608?	The Blackfriars
What were Shakespeare's roles as an actor?	Adam in As You Like It and the Ghost in Hamlet
Which year did Shakespeare's father die?	1601
What property did Shakespeare purchase in 1602?	127 acres of land in Stratford
Who was Shakespeare's mother?	Mary Arden
When did Shakespeare's younger brother Edmund die?	1607
Who was Shakespeare's granddaughter?	Elizabeth Hall
In what year did Shakespeare purchase New Place in Stratford?	1597
What was the reason for Shakespeare's departure from his hometown?	Poaching accusations
When did Shakespeare’s mother die?	1608
Which of Shakespeare’s plays did he act as the Ghost in?	Hamlet
What significant event occurred in Shakespeare's life in 1599?	Construction of The Globe Theatre
Why did Shakespeare’s acting company change its name in 1603?	Royal patronage under King James I
Who did Shakespeare's eldest daughter Susanna marry?	John Hall
When did Shakespeare’s second daughter Judith marry?	1616
What year was Shakespeare's will executed?	1616
To whom did Shakespeare leave his property in his will?	His daughter Susanna
Which company was Shakespeare associated with in 1594?	Lord Chamberlain’s Men
What is a possible reason for Shakespeare's hasty marriage to Anne Hathaway?	Anne Hathaway’s pregnancy
When did Shakespeare leave London for Stratford?	1610
Who was Shakespeare’s father?	John Shakespeare
Where did Shakespeare die?	StratforduponAvon
Who inherited most of Shakespeare’s property?	His daughter Susanna
When was the first printed mention of Shakespeare?	1592
"Who mentioned Shakespeare as ""an upstart crow""?"	Robert Greene
In which book did Francis Meres acclaim Shakespeare?	Palladis Tamia: Wit's Treasury
Which of the following plays was mentioned by Francis Meres?	King John
"What alternate title did Francis Meres mention for ""Love's Labour's Lost""?"	Love's Labour's Won
What nicknames are used for Shakespeare?	Sweet Swan of Avon and Bard of Avon
Who played female roles in Shakespeare's time?	Male actors
"Who called Thomas Haywood ""Prose Shakespeare""?"	Charles Lamb
How did postcolonial critics regard Shakespeare?	Imperial author
What did romantic critics feel about Shakespeare?	In him all came from within
Which of Shakespeare's plays are said to have original plots?	Love's Labour's Lost and Merry Wives of Windsor
How many of Shakespeare's plays were printed individually in quarto edition during his lifetime?	Sixteen
When were eighteen of Shakespeare's plays published?	1623
Which plays were written for private performance?	Love's Labour's Lost, A Midsummer Night's Dream, and The Tempest
Which couples are considered the most happily married in Shakespeare's plays?	Brutus and Portia; Macbeths
"What are ""problem plays"" or ""bittercomedies""?"	Troilus and Cressida, All's Well That Ends Well, and Measure for Measure
"Which plays are called ""romances""?"	Pericles, Cymbeline, The Winter's Tale, and The Tempest
In which plays is suicide seen as a noble culmination?	Othello; Antony and Cleopatra
What period saw Shakespeare regarded as an inspired barbarian?	New Classicism
Who worshipped Shakespeare in the Romantic Age?	Samuel Taylor Coleridge
When did Shakespeare begin to write histories and light comedies?	Early 1590s
Which of Shakespeare's plays were written entirely in verse?	Richard II, Henry VI, and King John
What is Shakespeare's Historical tetralogy?	Henry VI (Part 1, 2, 3), and Richard III
What did Shakespeare's history plays compliment?	The Tudor Dynasty
In how many periods can Shakespeare's literary output be classified?	Four
Which plays are included in Shakespeare's First Period (Early Experiment)?	"Venus and Adonis"" and ""The Rape of Lucrece"
"What year were the narrative poems ""Venus and Adonis"" published?"	1593
Which play is NOT part of Shakespeare's First Period?	Hamlet
"During which period did Shakespeare write ""Romeo and Juliet""?"	Second Period
Which of the following plays were written in the Third Period (Maturity and Gloom)?	"King Lear"" and ""Macbeth"
"In what period did Shakespeare write ""A Midsummer Night's Dream""?"	Second Period
Which play belongs to the Fourth Period (Late Experiment)?	Cymbeline
"""Twelfth Night"" was written during which period?"	Third Period
Which plays are included in Shakespeare's Development Period?	"""The Merchant of Venice"" and ""Henry IV"" (part 1 and 2)"
"What year was ""The Rape of Lucrece"" published?"	1594
Which play from the First Period was written in 1593?	Richard III
Which of the following plays was NOT written in the Third Period?	Pericles
"In which period did Shakespeare write ""Measure for Measure""?"	Third Period
Which play belongs to the Second Period (Development)?	As You Like It
"""Henry VIII"" was written during which period?"	Fourth Period
When were King Henry IV Part 1 and 2 performed?	1597
In which years were Henry IV Part 1 and 2 printed in ‘quarto’ edition?	1598 and 1600
